item,itemLabel,year,journalLabel,languageOfWorkLabel,mainSubjectLabel,authors
http://www.wikidata.org/entity/Q102041565,Open Citizen Science: Leitbild für kuratorische Praktiken in Wissenschaftlichen Bibliotheken,2020-11-23T00:00:00Z,Bibliotheken als Orte kuratorischer Praxis,German,"Saxon State and University Library, Dresden","Jens Bemme, Martin Munke"
http://www.wikidata.org/entity/Q56235886,Wikidata as semantic representation platform of the scientific achievements of the biomedical Collaborative Research Centre 1002,2018-08-27T00:00:00Z,German medical science : GMS e-journal,English,data collaboration,"Daniel Mietchen, Markus Suhr, Harald Kusch, Najko Jahn"
http://www.wikidata.org/entity/Q107532955,Wikidata y DBpedia: viaje al centro de la web de datos,2018-04-26T00:00:00Z,,,DBpedia,Tomás Saorín
http://www.wikidata.org/entity/Q79377127,"Wikidata, WikiCite y Scholia como herramientas para un corpus de datos bibliográficos enlazados. Curación y estructuración de la producción científica de los investigadores del IATEXT",2019-01-01T00:00:00Z,Prisma.com,Spanish,WikiCite,"Manuel Ramírez Sánchez, Gregorio Rodríguez Herrera, Iván Hernández Cazorla"
http://www.wikidata.org/entity/Q27044266,An Empirical Evaluation of Property Recommender Systems for Wikidata and Collaborative Knowledge Bases,2016-01-01T00:00:00Z,Proceedings of the 12th International Symposium on Open Collaboration,English,knowledge base,Eva Zangerle
http://www.wikidata.org/entity/Q110768110,Bibliometric analysis with Wikidata: the Comunicar case,2022-01-13T00:00:00Z,BiD: Textos Universitaris de Biblioteconomia i Documentació,Catalan,Wikidata,Ángel Obregón Sierra
http://www.wikidata.org/entity/Q61605356,Open Research Knowledge Graph: towards machine actionability in scholarly communication,2019-01-30T00:00:00Z,Proceedings of the 10th International Conference on Knowledge Capture,English,DBpedia,"Sören Auer, Mohamad Yaser Jaradeh, Gábor Kismihók, Markus Stocker, Kheir Eddine Farfar"
http://www.wikidata.org/entity/Q117221094,Alignment of Wikidata lexemes and Det Centrale Ordregister,2023-03-20T00:00:00Z,Proceedings of the 24th Nordic Conference on Computational Linguistics (NoDaLiDa),,ontology alignment,Finn Årup Nielsen
http://www.wikidata.org/entity/Q41799194,"Scholia, Scientometrics and Wikidata",2017-05-28T00:00:00Z,The Semantic Web: ESWC 2017 Satellite Events,English,citation analysis,"Egon Willighagen, Daniel Mietchen, Finn Årup Nielsen"
http://www.wikidata.org/entity/Q64225211,Using Shape Expressions (ShEx) to Share RDF Data Models and to Guide Curation with Rigorous Validation,2019-05-25T00:00:00Z,"The Semantic Web: 16th International Conference, ESWC 2019, Portorož, Slovenia, June 2–6, 2019, Proceedings",English,data quality of Wikidata,"Daniel Mietchen, Andra Waagmeester, Gregory Stupp, Harold Solbrig, Eric G. Prud'hommeaux, Katherine Thornton, José Emilio Labra Gayo"
http://www.wikidata.org/entity/Q112264882,Improving Wikidata with Student-Generated Concept Maps,2022-05-31T00:00:00Z,Proceedings of the Sixteenth International AAAI Conference on Web and Social Media,English,Wikidata,Bill Tomlinson
http://www.wikidata.org/entity/Q113148897,Le voci di autorità dei nomi di persona in SBN e Alphabetica: problemi e prospettive,2022-07-19T00:00:00Z,Bibliothecae.it,Italian,Wikidata,"Carlo Bianchini, Stefano Bargioni, Camillo Carlo Pellizzari di San Girolamo"
http://www.wikidata.org/entity/Q104150952,Novel Approaches to the Development and Application of Informetric and Scientometric Tools,2020-11-21T00:00:00Z,Journal of Data and Information Science,,WikiCite,"Giuseppe Catalano, Jacqueline Leta, Cinzia Daraio, Giancarlo Ruocco, Henk F. Moed"
http://www.wikidata.org/entity/Q117074054,Metodología para la incorporación de información geográfica en Wikidata,2023-02-24T00:00:00Z,Revista de Estudios Andaluces,Spanish,Spain,Ángel Obregón Sierra
http://www.wikidata.org/entity/Q18507561,Wikidata: A Free Collaborative Knowledgebase,2014-10-01T00:00:00Z,Communications of the ACM,English,knowledge base,"Denny Vrandečić, Markus Krötzsch"
http://www.wikidata.org/entity/Q41799194,"Scholia, Scientometrics and Wikidata",2017-05-28T00:00:00Z,The Semantic Web: ESWC 2017 Satellite Events,English,scholarly profiling,"Egon Willighagen, Daniel Mietchen, Finn Årup Nielsen"
http://www.wikidata.org/entity/Q52824698,Wikidata: a platform for your library’s linked open data,2018-05-07T00:00:00Z,Code4Lib Journal,English,Wikidata,"Stacy Allison-Cassin, Dan Scott"
http://www.wikidata.org/entity/Q101086216,RuBQ: A Russian Dataset for Question Answering over Wikidata,2020-01-01T00:00:00Z,"The Semantic Web – ISWC 2020: 19th International Semantic Web Conference, Athens, Greece, November 2–6, 2020, Proceedings, Part II",English,Wikidata,Pavel Braslavski
http://www.wikidata.org/entity/Q28942417,Scholia and scientometrics with Wikidata,2017-03-13T00:00:00Z,Joint Proceedings of the 1st International Workshop on Scientometrics and 1st International Workshop on Enabling Decentralised Scholarly Communication,English,web application,"Egon Willighagen, Daniel Mietchen, Finn Årup Nielsen"
http://www.wikidata.org/entity/Q105833381,COVIWD: COVID-19 Wikidata Dashboard,2021-03-01T00:00:00Z,Jurnal Ilmu Komputer dan Informasi,,Wikidata,Fariz Darari
http://www.wikidata.org/entity/Q112659882,Digital scholarly communication in and with the Wikiverse. Experiences from SLUB Dresden,2022-06-21T00:00:00Z,027.7,German,Scholia,"Martin Munke, Jens Bemme"
http://www.wikidata.org/entity/Q27042516,Wikidata: A New Platform for Collaborative Data Collection,2012-01-01T00:00:00Z,Proceedings of the 21st International Conference on World Wide Web Companion,English,data collaboration,Denny Vrandečić
http://www.wikidata.org/entity/Q116377606,La descrizione delle risorse bibliografiche in linked data,2021-01-01T00:00:00Z,Biblioteche Oggi,,Wikidata,Tania Maio
http://www.wikidata.org/entity/Q108215166,Questioning Street Names Leipzig,2021-08-23T00:00:00Z,Public Humanities,English,Leipzig,
http://www.wikidata.org/entity/Q71947365,Linking the OLAC Video Game Vocabulary with Wikidata,2019-01-29T00:00:00Z,International Videogame Data Network,English,OLAC Video Game Genre Vocabulary,Tracy Arndt
http://www.wikidata.org/entity/Q28942417,Scholia and scientometrics with Wikidata,2017-03-13T00:00:00Z,Joint Proceedings of the 1st International Workshop on Scientometrics and 1st International Workshop on Enabling Decentralised Scholarly Communication,English,scientific collaboration network,"Egon Willighagen, Daniel Mietchen, Finn Årup Nielsen"
http://www.wikidata.org/entity/Q96029878,HistorEx: Exploring Historical Text Corpora Using Word and Document Embeddings,2019-01-01T00:00:00Z,"The Semantic Web: ESWC 2019 Satellite Events: ESWC 2019 Satellite Events, Portorož, Slovenia, June 2–6, 2019, Revised Selected Papers",,cultural heritage,"Russa Biswas, Maria Koutraki, Tabea Tietz, Harald Sack"
http://www.wikidata.org/entity/Q107573009,‚The Data Arbor‘: Open Citizen Science with Linked Open Storytelling in Unlocking the ‚Garden Arbor‘,2021-08-02T00:00:00Z,Public Humanities,English,Template:Annotate QID,Jens Bemme
http://www.wikidata.org/entity/Q114777088,Mathematics in Wikidata,2021-10-14T00:00:00Z,Proceedings of the 2nd Wikidata Workshop (Wikidata 2021),English,mathematics,"Moritz Schubotz, Bela Gipp, Philipp Scharpf"
http://www.wikidata.org/entity/Q28819478,Learning to generate one-sentence biographies from Wikidata,2017-02-21T00:00:00Z,"Proceedings of the 15th Conference of the European Chapter of the Association for Computational Linguistics: Volume 1, Long Papers",English,natural language generation,Ben Hachey
http://www.wikidata.org/entity/Q115598110,Linking the Art in the Christian Tradition Database to Wikidata,2022-11-26T00:00:00Z,,English,Wikidata,
http://www.wikidata.org/entity/Q56669087,The connection between library data and community participation: the project SHARE Catalogue-Wikidata,2018-09-15T00:00:00Z,JLIS.it,Italian,Wikimedia movement,"Claudio Forziati, Valeria Lo Castro"
http://www.wikidata.org/entity/Q43662744,Spatial-based Topic Modelling using Wikidata Knowledge Base,2017-12-01T00:00:00Z,,English,knowledge base,Shanika Karunasekera
http://www.wikidata.org/entity/Q66539326,"John Boydell and the depiction of Welsh scenery in reproductive prints, 1750-1850",2017-01-01T00:00:00Z,National Library of Wales Journal,,book trade in Wales,Simon Cobb
http://www.wikidata.org/entity/Q114356267,Using logical constraints to validate statistical information about disease outbreaks in collaborative knowledge graphs: the case of COVID-19 epidemiology in Wikidata,2022-09-29T00:00:00Z,PeerJ Computer Science,English,Wikidata,"Dariusz Jemielniak, Daniel Mietchen, Thomas Shafee, Diptanshu Das, Mossab Banat, Eric G. Prud'hommeaux, José Emilio Labra Gayo, Houcemeddine Turki, Mohamed Ben Aouicha, Mohamed Ali Hadj Taieb, Tiago Lubiana"
http://www.wikidata.org/entity/Q104831003,Automatically maintained citations with Wikidata and Cite Q,2021-01-14T00:00:00Z,Diff,English,Template:Cite Q,"Andy Mabbett, Michael Peel"
http://www.wikidata.org/entity/Q57273080,Science Stories: Using IIIF and Wikidata to Create a Linked-Data Application,2018-09-24T00:00:00Z,"Proceedings of the ISWC 2018 Posters & Demonstrations, Industry and Blue Sky Ideas Tracks",English,Wikidata,"Katherine Thornton, Kenneth Seals-Nutt"
http://www.wikidata.org/entity/Q106097101,Q106097101,2020-01-01T00:00:00Z,,,digital art history,Thorsten Wuebbena
http://www.wikidata.org/entity/Q112053328,Extraction Of Wikidata Knowledge For The Metadata Formation For Documents of Digital Mathematical Collections,2022-01-27T00:00:00Z,Russian Digital Libraries Journal,,metadata,
http://www.wikidata.org/entity/Q71947365,Linking the OLAC Video Game Vocabulary with Wikidata,2019-01-29T00:00:00Z,International Videogame Data Network,English,Mix'n'match,Tracy Arndt
http://www.wikidata.org/entity/Q87830400,Wikidata as a knowledge graph for the life sciences,2020-03-17T00:00:00Z,eLife,English,Wikidata,"Daniel Mietchen, Andra Waagmeester, Benjamin M. Good, Andrew I. Su, Egon Willighagen, Timothy Elliott Putman, Elvira Mitraka, Sebastian Burgstaller-Muehlbacher, Alexander R. Pico, Henning Hermjakob, Kristina Hanspers, Magnus Manske, Katherine Thornton, Anders Riutta, Denise Slenter, Sarah M Keating, Kevin Hybiske, Ginger Tsueng, Toby Hudson, Gregory Stupp, Lynn Schriml, Núria Queralt Rosinach, Ralf Stephan, Roger Tu, Michael Mayers, Obi Griffith, Malachi Griffith, Thomas Shafee, Chunlei Wu, Sabah Ul-Hasan"
http://www.wikidata.org/entity/Q108934149,Building a Knowledge Graph of Events and Consequences Using Wikidata,2021-10-14T00:00:00Z,Proceedings of the 2nd Wikidata Workshop (Wikidata 2021),English,cause,Oktie Hassanzadeh
http://www.wikidata.org/entity/Q100988209,"Baumnetze, Landesgeschichte und offene Datenberge – Wissen durch Knotenbildung mit Wikidata zum 8.",2020-10-29T00:00:00Z,saxorum.hypotheses.org,German,Wikidata,Jens Bemme
http://www.wikidata.org/entity/Q26955946,Monitoring the Gender Gap with Wikidata Human Gender Indicators,2016-08-01T00:00:00Z,Proceedings of the 12th International Symposium on Open Collaboration,English,gender bias on Wikipedia,"Haiyi Zhu, Piotr Konieczny, Vivek Rai, Maximilian Klein, Harsh Gupta"
http://www.wikidata.org/entity/Q112637240,Inserción de metadatos de las bibliotecas españolas en Wikidata: un modelo de datos abiertos enlazados,2022-07-01T00:00:00Z,Revista Española de Documentación Científica,Spanish,metadata,Ángel Obregón Sierra
http://www.wikidata.org/entity/Q27044266,An Empirical Evaluation of Property Recommender Systems for Wikidata and Collaborative Knowledge Bases,2016-01-01T00:00:00Z,Proceedings of the 12th International Symposium on Open Collaboration,English,data collaboration,Eva Zangerle
http://www.wikidata.org/entity/Q107636412,Learning to Recommend Items to Wikidata Editors,2021-06-23T00:00:00Z,"The Semantic Web – ISWC 2021: 20th International Semantic Web Conference, ISWC 2021, Virtual Event, October 24–28, 2021, Proceedings",English,recommender system,"Elena Simperl, Miaojing Shi"
http://www.wikidata.org/entity/Q105755620,Wikidata for JLIS.it. A new step forward mapping Italian library and information science journals,2021-01-15T00:00:00Z,JLIS.it,,information science,Carlo Bianchini
http://www.wikidata.org/entity/Q27037396,Applying a Multi-Level Modeling Theory to Assess Taxonomic Hierarchies in Wikidata,2016-04-01T00:00:00Z,Proceedings of the 25th International Conference Companion on World Wide Web,English,data quality of Wikidata,Giancarlo Guizzardi
http://www.wikidata.org/entity/Q67785864,When Humans and Machines Collaborate:Cross-lingual Label Editing in Wikidata,2019-08-01T00:00:00Z,Proceedings of the 15th International Symposium on Open Collaboration,English,data collaboration,"Elena Simperl, Lucie-Aimée Kaffee"
http://www.wikidata.org/entity/Q100979562,Analyzing Wikidata Transclusion on English Wikipedia,2020-10-01T00:00:00Z,Proceedings of The 1st Wikidata Workshop,English,transclusion,Isaac Johnson
http://www.wikidata.org/entity/Q66539326,"John Boydell and the depiction of Welsh scenery in reproductive prints, 1750-1850",2017-01-01T00:00:00Z,National Library of Wales Journal,,John Boydell,Simon Cobb
http://www.wikidata.org/entity/Q116662331,Visibility Matters: Giving credit where it's due in natural history collections,2022-12-01T00:00:00Z,The Linnean : newsletter and proceedings of the Linnean Society of London,English,scientific collector,Siobhan Leachman
http://www.wikidata.org/entity/Q51794855,Inferring visual semantic similarity with deep learning and Wikidata: Introducing imagesim-353,2018-04-01T00:00:00Z,Proceedings of the First Workshop on Deep Learning for Knowledge Graphs and Semantic Technologies,English,semantic similarity,"Finn Årup Nielsen, Lars Kai Hansen"
http://www.wikidata.org/entity/Q108855310,Using the W3C Generating RDF from Tabular Data on the Web recommendation to manage small Wikidata datasets,2021-09-07T00:00:00Z,,,Wikidata,"Steven J. Baskauf, Jessica Baskauf"
http://www.wikidata.org/entity/Q71532858,Describing datasets in Wikidata,2019-01-01T00:00:00Z,,English,Wikidata,Denny Vrandečić
http://www.wikidata.org/entity/Q64706055,Too Much Information: Can AI Cope with Modern Knowledge Graphs?,2019-05-23T00:00:00Z,"Formal Concept Analysis: 15th International Conference, ICFCA 2019, Frankfurt, Germany, June 25–28, 2019, Proceedings",English,Wikidata,Markus Krötzsch
http://www.wikidata.org/entity/Q18507561,Wikidata: A Free Collaborative Knowledgebase,2014-10-01T00:00:00Z,Communications of the ACM,English,data collaboration,"Denny Vrandečić, Markus Krötzsch"
http://www.wikidata.org/entity/Q101092993,SectionLinks: Mapping Orphan Wikidata Entities onto Wikipedia Sections,2020-10-01T00:00:00Z,Proceedings of The 1st Wikidata Workshop,English,Wikidata,"Philippe Cudré-Mauroux, Djellel Difallah, Natalia Ostapuk"
http://www.wikidata.org/entity/Q101092993,SectionLinks: Mapping Orphan Wikidata Entities onto Wikipedia Sections,2020-10-01T00:00:00Z,Proceedings of The 1st Wikidata Workshop,English,English Wikipedia,"Philippe Cudré-Mauroux, Djellel Difallah, Natalia Ostapuk"
http://www.wikidata.org/entity/Q101092993,SectionLinks: Mapping Orphan Wikidata Entities onto Wikipedia Sections,2020-10-01T00:00:00Z,Proceedings of The 1st Wikidata Workshop,English,Wikipedia,"Philippe Cudré-Mauroux, Djellel Difallah, Natalia Ostapuk"
http://www.wikidata.org/entity/Q56235886,Wikidata as semantic representation platform of the scientific achievements of the biomedical Collaborative Research Centre 1002,2018-08-27T00:00:00Z,German medical science : GMS e-journal,English,collaboration,"Daniel Mietchen, Markus Suhr, Harald Kusch, Najko Jahn"
http://www.wikidata.org/entity/Q84034234,Getting Digital Preservation Data out of Wikidata,2019-01-01T00:00:00Z,,English,Wikidata,"Kenneth Seals-Nutt, Katherine Thornton"
http://www.wikidata.org/entity/Q117348190,Citizen Science goes Saxon Bibliography: Wikisource transcripts enrich SLUB catalogue,2023-03-30T00:00:00Z,saxorum.hypotheses.org,German,Wikisource,Daniel Fischer
http://www.wikidata.org/entity/Q100988209,"Baumnetze, Landesgeschichte und offene Datenberge – Wissen durch Knotenbildung mit Wikidata zum 8.",2020-10-29T00:00:00Z,saxorum.hypotheses.org,German,Splittereiche,Jens Bemme
http://www.wikidata.org/entity/Q112731474,Practices of Linked Open Data in Archaeology and Their Realisation in Wikidata,2022-06-22T00:00:00Z,,English,linked open data,"Martina Trognitz, Florian Thiery, Sophie C. Schmidt"
http://www.wikidata.org/entity/Q121833701,Photo competition: Wiki Loves Monuments 2023 from September,2023-08-25T00:00:00Z,saxorum.hypotheses.org,German,Wikimedia Commons,Matthias Erfurth
http://www.wikidata.org/entity/Q56152111,Design Challenges in Named Entity Transliteration,2018-08-07T00:00:00Z,,English,Wikidata,
http://www.wikidata.org/entity/Q63533114,Fine-Grained Named Entity Recognition using ELMo and Wikidata,2019-04-23T00:00:00Z,,English,named-entity recognition,
http://www.wikidata.org/entity/Q107675424,Wartungsarbeiten und Datenpflege für Saxonica mit #Wikisource + #Wikidata,2020-08-13T00:00:00Z,textlab.hypotheses.org,German,German Wikisource,Jens Bemme
http://www.wikidata.org/entity/Q100052578,Commonsense Knowledge in Wikidata,2020-08-18T00:00:00Z,Proceedings of The 1st Wikidata Workshop,English,commonsense knowledge base,"Daniel Schwabe, Pedro Szekely, Filip Ilievski"
http://www.wikidata.org/entity/Q104099847,"Wikidata at Fondazione Levi (Venice, Italy). A Case Study for the Publication of Data about Fondo Gambara, a Collection of 202 Musicians’ Portraits",2020-09-15T00:00:00Z,JLIS.it,,Fondazione Ugo e Olga Levi,"Carlo Bianchini, Pasquale Spinelli"
http://www.wikidata.org/entity/Q110525771,Reference Statistics in Wikidata Topical Subsets,2021-10-14T00:00:00Z,Proceedings of the 2nd Wikidata Workshop (Wikidata 2021),English,data quality of Wikidata,"Alasdair J. G. Gray, Fiona J. McNeill, Seyed Amir Hosseini Beghaeiraveri"
http://www.wikidata.org/entity/Q56010228,Getting the Most out of Wikidata: Semantic Technology Usage in Wikipedia’s Knowledge Graph,2018-01-01T00:00:00Z,"The Semantic Web – ISWC 2018: 17th International Semantic Web Conference, Monterey, CA, USA, October 8–12, 2018, Proceedings, Part II",English,knowledge graph,"Markus Krötzsch, Stanislav Malyshev, Julius Gonsior, Adrian Bielefeldt"
http://www.wikidata.org/entity/Q62747324,The treasure behind Görlitz’s age-old walls,2013-11-14T00:00:00Z,Wikimedia Blog,English,Wikimedia movement,Conrad Nutschan
http://www.wikidata.org/entity/Q39263203,Context-Aware Representations for Knowledge Base Relation Extraction,2017-01-01T00:00:00Z,Proceedings of the 2017 Conference on Empirical Methods in Natural Language Processing,English,Wikidata,"Iryna Gurevych, Daniil Sorokin"
http://www.wikidata.org/entity/Q39263203,Context-Aware Representations for Knowledge Base Relation Extraction,2017-01-01T00:00:00Z,Proceedings of the 2017 Conference on Empirical Methods in Natural Language Processing,English,Wikipedia,"Iryna Gurevych, Daniil Sorokin"
http://www.wikidata.org/entity/Q57933185,Practical Linked Data Access via SPARQL: The Case of Wikidata,2018-05-24T00:00:00Z,,English,Wikidata Query Service,"Markus Krötzsch, Julius Gonsior, Adrian Bielefeldt"
http://www.wikidata.org/entity/Q110594700,Announcement 57th BibChatDE: How much Wikiverse is already in our libraries?,2022-01-16T00:00:00Z,BibChatDe,German,Wikidata,"Jens Bemme, Marlene Neumann"
http://www.wikidata.org/entity/Q110594700,Announcement 57th BibChatDE: How much Wikiverse is already in our libraries?,2022-01-16T00:00:00Z,BibChatDe,German,Wikipedia,"Jens Bemme, Marlene Neumann"
http://www.wikidata.org/entity/Q59846463,Demoing Platypus – A Multilingual Question Answering Platform for Wikidata,2018-01-01T00:00:00Z,"The Semantic Web: ESWC 2018 Satellite Events: ESWC 2018 Satellite Events, Heraklion, Crete, Greece, June 3-7, 2018, Revised Selected Papers",English,natural language to SPARQL conversion,"Thomas Pellissier Tanon, Fabian M. Suchanek"
http://www.wikidata.org/entity/Q23712646,Wikidata as a semantic framework for the Gene Wiki initiative,2016-01-01T00:00:00Z,Database,English,Wikidata,"Andra Waagmeester, Benjamin M. Good, Andrew I. Su, Lynn Schriml, Sebastian Burgstaller-Muehlbacher, Elvira Mitraka, Timothy Elliott Putman, Paul Pavlidis, Julia Turner"
http://www.wikidata.org/entity/Q112659882,Digital scholarly communication in and with the Wikiverse. Experiences from SLUB Dresden,2022-06-21T00:00:00Z,027.7,German,Linked Open Storytelling,"Martin Munke, Jens Bemme"
http://www.wikidata.org/entity/Q54655231,Submit a Topic Page to PLOS Computational Biology and Wikipedia,2018-05-31T00:00:00Z,PLOS Computational Biology,English,PLOS Genetics,"Shoshana Wodak, Daniel Mietchen, Szymon Wasik, Christophe Dessimoz, Natalia Szostak"
http://www.wikidata.org/entity/Q21503284,Wikidata: A platform for data integration and dissemination for the life sciences and beyond,2015-11-16T00:00:00Z,Proceedings of the 8th International Conference on Semantic Web Applications and Tools for Life Sciences,English,Semantic Web,"Andra Waagmeester, Benjamin M. Good, Andrew I. Su, Lynn Schriml, Sebastian Burgstaller-Muehlbacher, Elvira Mitraka"
http://www.wikidata.org/entity/Q64225211,Using Shape Expressions (ShEx) to Share RDF Data Models and to Guide Curation with Rigorous Validation,2019-05-25T00:00:00Z,"The Semantic Web: 16th International Conference, ESWC 2019, Portorož, Slovenia, June 2–6, 2019, Proceedings",English,Gene Wiki,"Daniel Mietchen, Andra Waagmeester, Gregory Stupp, Harold Solbrig, Eric G. Prud'hommeaux, Katherine Thornton, José Emilio Labra Gayo"
http://www.wikidata.org/entity/Q120968156,Complementing GPT-3 with Few-Shot Sequence-to-Sequence Semantic Parsing over Wikidata,2023-05-23T00:00:00Z,,English,Wikidata,"Monica S. Lam, Sina J. Semnani"
http://www.wikidata.org/entity/Q108208862,Creating and Querying Personalized Versions of Wikidata on a Laptop,2021-08-06T00:00:00Z,Proceedings of the 2nd Wikidata Workshop (Wikidata 2021),English,Knowledge Graph Toolkit,"Daniel Garijo, Pedro Szekely, Filip Ilievski, Hans Chalupsky, Kartik Shenoy"
http://www.wikidata.org/entity/Q27042516,Wikidata: A New Platform for Collaborative Data Collection,2012-01-01T00:00:00Z,Proceedings of the 21st International Conference on World Wide Web Companion,English,collaboration,Denny Vrandečić
http://www.wikidata.org/entity/Q109830878,Wikidated 1.0: An Evolving Knowledge Graph Dataset of Wikidata's Revision History,2021-10-14T00:00:00Z,Proceedings of the 2nd Wikidata Workshop (Wikidata 2021),English,Wikidata,"Steffen Staab, Lukas Schmelzeisen"
http://www.wikidata.org/entity/Q63994051,"Comparing DBpedia, Wikidata, and YAGO for Web Information Retrieval",2019-01-01T00:00:00Z,Lecture Notes in Networks and Systems,English,Wikidata,
http://www.wikidata.org/entity/Q63286185,ChlamBase: a curated model organism database for the Chlamydia research community,2019-01-01T00:00:00Z,Database,English,gene database,"Andrew I. Su, Timothy Elliott Putman, Kevin Hybiske, Cyrus Afrasiabi, Sebastien Lelong, Derek Jow, Marco Alvarado Cano"
